25.03.2024,neutru,1017600019696,AGRO-NOVA PRIM S.R.L.,MoldStreet,Unul dintre cei mai mari traderi de pe piaţa cerealelor vrea să preia un concurent - MoldStreet,https://www.mold-street.com/?go=news&amp;n=17978
18.03.2024,neutru,1002600001257,CALEA FERATA DIN MOLDOVA IS,Moldova.org,Cum se face schimbarea miniștrilor și cum afectează încrederea oamenilor,https://www.moldova.org/schimbarea-ministrilor-in-moldova/
11.03.2024,neutru,1002600001257,CALEA FERATA DIN MOLDOVA IS,Agora.md,Angajații CFM își primesc salariile pentru anul trecut. Se fac economii și se iau împrumuturi,https://agora.md/2024/03/13/angajatii-cfm-isi-primesc-salariile-pentru-anul-trecut-se-fac-economii-si-se-iau-imprumuturi
11.03.2024,pozitiv,1002600001257,CALEA FERATA DIN MOLDOVA IS,NewsMaker,Credit pentru lefuri. Angajații Căii Ferate din Moldova au început să își primească salariile,https://newsmaker.md/ro/credit-pentru-lefuri-angajatii-caii-ferate-din-moldova-au-inceput-sa-isi-primeasca-salariile/
04.03.2024,neutru,1002600001257,CALEA FERATA DIN MOLDOVA IS,Новости Бельцы Молдова,Andrei Spînu: Statul va păstra controlul asupra CFM și a Aeroportului Internațional Chișinău,https://esp.md/ro/sobytiya/2024/03/05/andrei-spinu-statul-va-pastra-controlul-asupra-cfm-si-aeroportului-international
02.03.2024,negativ,1002600001257,CALEA FERATA DIN MOLDOVA IS,NewsMaker,Primarul care a accidentat mortal un copil și a fugit vrea să fie cercetat în libertate. Avocații au depus o cerere,https://newsmaker.md/ro/primarul-care-a-accidentat-mortal-un-copil-si-a-fugit-vrea-sa-fie-cercetat-in-libertate-avocatii-au-depus-o-cerere/
04.03.2024,neutru,1002605000521,CIMISLIA S.A.,Președinția Republicii Moldova,Președinta Maia Sandu s-a întâlnit cu mai mulți conaționali stabiliți în București,https://presedinte.md/presa/presedinta-maia-sandu-s-a-intlnit-cu-mai-multi-conationali-stabiliti-in-bucuresti
02.03.2024,neutru,1002605000521,CIMISLIA S.A.,Stiri.md,Eroii căzuți în războiul de pe Nistru au fost comemorați la Cimișlia,https://stiri.md/article/social/eroii-cazuti-in-razboiul-de-pe-nistru-au-fost-comemorati-la-cimislia
25.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,"Serviciile aplicației de mesagerie Telegram, suspendate temporar în Spania",https://www.zdg.md/stiri/stiri-diverse/serviciile-aplicatiei-de-mesagerie-telegram-suspendate-temporar-in-spania/
25.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,Primele declarații ale lui Putin despre atacul terorist de la Moscova,https://www.zdg.md/stiri/primele-declaratii-ale-lui-putin-despre-atacul-terorist-de-la-moscova/
18.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,Doi preoți riscă să fie „expulzați din cinul preoțesc” după aderarea lor la Mitropolia Basarabiei. Episcopul Marchel ...,https://www.zdg.md/stiri/stiri-sociale/doi-preoti-risca-sa-fie-expulzati-din-cinul-preotesc-dupa-aderarea-lor-la-mitropolia-basarabiei-episcopul-marchel-orice-actiune-preoteasca-a-lor-este-neplacuta-lui-dumneze/
18.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,"Dosarul privind finanțarea ilegală a partidelor politice și spălare de bani: ședința de la Curtea de Apel Chișinău, în ...",https://www.zdg.md/stiri/stiri-justitie/dosarul-privind-finantarea-ilegala-a-partidelor-politice-si-spalare-de-bani-sedinta-de-la-curtea-de-apel-chisinau-in-care-urma-sa-fie-examinat-recursul-avocatilor-amanata/
18.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,Institutul pentru Studierea Războiului consideră că incidentul cu drona din regiunea transnistreană este o încercare de ...,https://www.zdg.md/importante/institutul-pentru-studierea-razboiului-considera-ca-incidentul-cu-drona-din-regiunea-transnistreana-este-o-incercare-de-destabilizare/
18.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,Alertă cu bombă la un liceu din capitală,https://www.zdg.md/stiri/alerta-cu-bomba-la-un-liceu-din-capitala/
11.03.2024,negativ,1003600086062,CRICOVA S.A.,Ziarul de Gardă,"Preotul din Soroca, înjunghiat în curtea mănăstirii, are nevoie de transfuzie de sânge. Detalii despre starea ...",https://www.zdg.md/stiri/preotul-din-soroca-injunghiat-in-curtea-manastirii-are-nevoie-de-transfuzie-de-sange-detalii-despre-starea-arhimandritului/
04.03.2024,negativ,1003600086062,CRICOVA S.A.,Radio Europa Libera Moldova,"De ce în R. Moldova, oficial, practic nu există boli profesionale",https://moldova.europalibera.org/a/de-ce-in-r-moldova-oficial-practic-nu-exista-boli-profesionale/32848909.html
04.03.2024,neutru,1003600086062,CRICOVA S.A.,Ziarul de Gardă,Șeful spionajului rusesc spune că Navalnîi a avut o moarte naturală: „Oamenii au o particularitate: mor”,https://www.zdg.md/stiri/seful-spionajului-rusesc-spune-ca-navalnii-a-avut-o-moarte-naturala-oamenii-au-o-particularitate-mor/
11.03.2024,neutru,1003600043207,F.P.C. ROGOB S.R.L.,MoldStreet,Cine sunt cei mai mari retaileri din Republica Moldova - MoldStreet,https://www.mold-street.com/?go=news&amp;n=17889
25.03.2024,neutru,1002600029473,GEMENI S.A.,Ziarul de Gardă,DOC/ Ex-judecătoarea Tamara Chișca-Doneva a mai făcut un pas (nereușit) în lupta de a anula decizia CSM privind ...,https://www.zdg.md/stiri/stiri-justitie/doc-ex-judecatoarea-tamara-chisca-doneva-a-mai-facut-un-pas-nereusit-in-lupta-de-a-anula-decizia-csm-privind-perchezitionarea-si-suspendarea-din-functie/
18.03.2024,negativ,1004600073997,I.C.S. DANUBE LOGISTICS S.R.L.,NewsMaker,"Recean, de la tribuna Parlamentului: „Toți cei care au fost implicați în fraudarea portului Giurgiulești vor fi trași la ...",https://newsmaker.md/ro/recean-de-la-tribuna-parlamentului-toti-cei-care-au-fost-implicati-in-fraudarea-portului-giurgiulesti-vor-fi-trasi-la-raspundere/
02.03.2024,pozitiv,1003600072948,I.M. VINARIA PURCARI S.R.L.,Diez.md,Vinurile moldovenești au obținut 95 de medalii în cadrul concursului internațional Mundus Vini Spring Tasting 2024 ...,https://diez.md/2024/03/02/vinurile-moldovenesti-au-obtinut-95-de-medalii-in-cadrul-concursului-international-mundus-vini-spring-tasting-2024/
30.03.2024,negativ,1002600024700,I.P. AGENTIA SERVICII PUBLICE,Moldpres,La Criuleni nu se vor presta servicii de examinare auto,https://www.moldpres.md/news/2024/03/29/24002255
18.03.2024,neutru,1002600024700,I.P. AGENTIA SERVICII PUBLICE,Contabil sef,Persoanele juridice sunt responsabile de autenticitatea datelor prezentate cu privire la sediu,https://www.contabilsef.md/persoanele-juridice-sunt-responsabile-de-autenticitatea-datelor-prezentate-cu-privire-la-sediu/?lang=ro
25.03.2024,neutru,1003600015231,ICS PREMIER ENERGY DISTRIBUTION S.A,Moldpres,Au început lucrările de instalare a contoarelor inteligente pentru energia electrică,https://www.moldpres.md/news/2024/03/22/24002068
18.03.2024,pozitiv,1003600015231,ICS PREMIER ENERGY DISTRIBUTION S.A,ZiarulNational.md,Tarifele la energia TERMICĂ și cea electrică au SCĂZUT la finalul sezonului de încălzire,https://www.ziarulnational.md/tarifele-la-energia-termica-si-cea-electrica-au-scazut/
18.03.2024,neutru,1003600015231,ICS PREMIER ENERGY DISTRIBUTION S.A,Новости Бельцы Молдова,NATO construiește în România cea mai mare bază militară din Europa,https://esp.md/ro/sobytiya/2024/03/18/nato-construieste-romania-cea-mai-mare-baza-militara-din-europa
11.03.2024,pozitiv,1003600015231,ICS PREMIER ENERGY DISTRIBUTION S.A,Vocea Basarabiei,20 de mii de consumatori aflați în aria de activitate Premier Energy vor beneficia de contoare inteligente,https://voceabasarabiei.md/20-de-mii-de-consumatori-aflati-in-aria-de-activitate-premier-energy-vor-beneficia-de-contoare-inteligente/
02.03.2024,negativ,1002600043543,MELODIA S.A.,Universul.net,Israel va modifica versurile cântecului său propus la Eurovision pentru a-şi garanta participarea în concurs ⋆ Universul ...,https://universul.net/israel-va-modifica-versurile-cantecului-sau-propus-la-eurovision-pentru-a-si-garanta-participarea-in-concurs/
11.03.2024,neutru,1010600022460,MOLDRETAIL GROUP S.R.L.,Moldova.org,Femei în domeniile cheie în Republica Moldova,https://www.moldova.org/femei-in-domeniile-cheie-in-republica-moldova/
11.03.2024,neutru,1010600022460,MOLDRETAIL GROUP S.R.L.,MoldStreet,Cine sunt cei mai mari retaileri din Republica Moldova - MoldStreet,https://www.mold-street.com/?go=news&amp;n=17889
29.03.2024,pozitiv,1003600053518,O.C.N. MICROINVEST S.R.L.,Agora.md,"„Dacă există voință, există și o cale spre succes” – Ina Rusu, fondatoarea brandului Vestiti, clientă Microinvest",https://agora.md/2024/03/28/daca-exista-vointa-exista-si-o-cale-spre-succes-ina-rusu-fondatoarea-brandului-vestiti-clienta-microinvest
25.03.2024,pozitiv,1007601009484,PRIMARIA MUNICIPIULUI CHISINAU,Primăria Chișinău,"Primăria Municipiului Chișinău și organizația „People in Need”, Moldova, au semnat un Acord de colaborare",https://www.chisinau.md/ro/primaria-municipiului-chisinau-si-organizatia-people-in-need-moldova-20292_276219.html
02.03.2024,pozitiv,1011600016198,RADACINI WINES S.R.L.,Diez.md,Vinurile moldovenești au obținut 95 de medalii în cadrul concursului internațional Mundus Vini Spring Tasting 2024 ...,https://diez.md/2024/03/02/vinurile-moldovenesti-au-obtinut-95-de-medalii-in-cadrul-concursului-international-mundus-vini-spring-tasting-2024/
29.03.2024,negativ,1006606001095,S.C. INAMSTRO S.R.L.,ZiarulNational.md,​Birocrația excesivă BLOCHEAZĂ de mai bine de opt ani edificarea Centrului Național de Medicină Sportivă. Firma ...,https://www.ziarulnational.md/birocratia-excesiva-blocheaza-de-mai-bine-de-opt-ani-edificarea-centrului-national-de-medicina-sportiva-firma-desemnata-sa-efectueze-lucrarile-a-suportat-deja-pierderi-de-milioane-si-intentioneaza-sa-si-caute-dreptatea-in-instanta-de-judecata/
18.03.2024,pozitiv,1003611000716,S.R.L. OLIMP,Jurnal.md,Olimp Towers by Estate Invest Company: Apartamente premium în cel mai înalt punct din oraș,https://www.jurnal.md/ro/news/d7b4696544c148d0/olimp-towers-by-estate-invest-company-apartamente-premium-in-cel-mai-inalt-punct-din-oras.html
25.03.2024,neutru,1002600048836,SA MOLDTELECOM,ZiarulNational.md,"Datorită campaniei Moldindconbank, peste 1 000 000 de moldoveni sunt mai protejați de fraude",https://www.ziarulnational.md/datorita-campaniei-moldindconbank-peste-1-milion-de-moldoveni-sunt-mai-protejati-de-fraude/
03.03.2024,pozitiv,1013600032967,StarNet Solutii S.R.L.,Agora.md,Ofertă de primăvară de la StarNet. Beneficiază de 3 luni gratuite de Internet+TV,https://agora.md/2024/03/04/oferta-de-primavara-de-la-starnet-beneficiaza-de-3-luni-gratuite-de-internettv
03.03.2024,pozitiv,1013600032967,StarNet Solutii S.R.L.,Jurnal.md,Primăvara aceasta ai 3 luni gratuite de Internet+TV,https://www.jurnal.md/ro/news/48144fc30e3f9821/primavara-aceasta-ai-3-luni-gratuite-de-internet-tv.html
05.03.2024,neutru,1003600072281,SYSTEM CAPITAL MANAGEMENT S.R.L.,Ziarul de Gardă,"DOC/ Cine și ce urmează să construiască pe terenul Pieței „Tiraspol”, lichidată la începutul anului curent",https://www.zdg.md/stiri/stiri-sociale/doc-cine-si-ce-urmeaza-sa-construiasca-pe-terenul-pietei-tiraspol-lichidata-la-inceputul-anului-curent/
12.03.2024,neutru,1002600033793,VIORICA-COSMETIC S.A.,Agora.md,"Teatrul, muzica și spectacolele te așteaptă pentru a-ți oferi o experiență memorabilă. Află mai multe și rezervă-ți ...",https://agora.md/2024/03/07/teatrul-muzica-si-spectacolele-te-asteapta-pentru-a-ti-oferi-o-experienta-memorabila-afla-mai-multe-si-rezerva-ti-locul-acum
